Player,Team,Height,Shoes,Salary,AveragePoints,ThreePointPercentage,FreeThrowPercentage
Kent Bazemore,Atlanta Hawks,6-5,Under_Armour,"$18,089,888",11.6,32.0,72.6
Dewayne Dedmon,Atlanta Hawks,7-0,Jordan,"$6,300,000",10.8,38.2,81.4
John Collins,Atlanta Hawks,6-10,Adidas,"$2,299,080",19.5,34.8,76.3
Trae Young,Atlanta Hawks,6-2,Adidas,"$5,363,280",19.1,32.4,82.9
Kevin Huerter,Atlanta Hawks,6-7,Nike,"$2,250,960",9.7,38.5,73.2
Vince Carter,Atlanta Hawks,6-6,Nike,"$2,393,887",7.4,38.9,71.2
Alex Len,Atlanta Hawks,7-1,Nike,"$4,350,000",11.1,36.3,64.8
Jaylen Brown,Boston Celtics,6-7,Adidas,"$5,169,960",13.0,34.4,65.8
Gordon Hayward,Boston Celtics,6-8,Anta,"$31,214,295",11.5,33.3,83.4
Al Horford,Boston Celtics,6-10,Nike,"$28,928,710",13.6,36.0,82.1
Terry Rozier,Boston Celtics,6-1,Puma,"$3,050,389",9.0,35.3,78.5
Marcus Smart,Boston Celtics,6-4,Adidas,"$11,160,716",8.9,36.4,80.6
Jayson Tatum,Boston Celtics,6-8,Nike,"$6,700,800",15.7,37.3,85.5
Kyrie Irving,Boston Celtics,6-3,Nike,"$20,099,189",23.8,40.1,87.3
Daniel Theis,Boston Celtics,6-8,Nike,"$1,378,242",5.7,38.8,73.7
Jarrett Allen,Brooklyn Nets,6-11,Nike,"$2,034,120",10.9,13.3,70.9
DeMarre Carroll,Brooklyn Nets,6-8,Adidas,"$15,400,000",11.1,34.2,76.0
Spencer Dinwiddie,Brooklyn Nets,6-6,K8IROS,"$1,656,092",16.8,33.5,80.6
Joe Harris,Brooklyn Nets,6-6,Nike,"$8,333,333",13.7,47.4,82.7
Rondae Hollis-Jefferson,Brooklyn Nets,6-7,Nike,"$2,470,356",8.9,18.4,64.5
Rodions Kurucs,Brooklyn Nets,6-9,Adidas,"$1,690,000",8.5,31.5,78.3
Ed Davis,Brooklyn Nets,6-10,Nike,"$4,449,000",5.8,0.0,61.7
Jared Dudley,Brooklyn Nets,6-7,Nike,"$9,530,000",4.9,35.1,69.6
Nicolas Batum,Charlotte Hornets,6-8,Jordan,"$24,000,000",9.3,38.9,86.5
Michael Kidd-Gilchrist,Charlotte Hornets,6-7,Jordan,"$13,000,000",6.7,34.0,77.2
Jeremy Lamb,Charlotte Hornets,6-5,Nike,"$7,000,000",15.3,34.8,88.8
Malik Monk,Charlotte Hornets,6-3,Nike,"$3,447,480",8.9,33.0,88.2
