Player,Team,Height,Shoes,Salary,AveragePoints,ThreePointPercentage,FreeThrowPercentage
Eric Gordon,HOU,6-4,Adidas,"$13,500,375",16.2,36.0,78.3
James Harden,HOU,6-5,Adidas,"$30,570,000",36.1,36.8,87.9
Chris Paul,HOU,6-0,Jordan,"$35,654,150",15.6,35.8,86.2
Gerald Green,HOU,6-7,Adidas,"$1,512,601",9.2,35.4,83.8
Austin Rivers,HOU,6-4,Adidas,"$13,155,324",8.1,31.8,52.6
Iman Shumpert,HOU,6-5,Nike,"$11,011,234",7.5,34.8,80.0
Bojan Bogdanovic,IND,6-8,Adidas,"$10,500,000",18.0,42.5,80.7
Darren Collison,IND,6-0,Q4,"$10,000,000",11.2,40.7,83.2
Cory Joseph,IND,6-3,Nike,"$7,945,000",6.5,32.2,69.8
Domantas Sabonis,IND,6-11,Nike,"$2,659,800",14.1,52.9,71.5
Myles Turner,IND,6-11,Nike,"$3,294,994",13.3,38.8,73.6
Doug McDermott,IND,6-8,Nike,"$7,333,334",7.3,40.8,83.5
Tyreke Evans,IND,6-6,Nike,"$12,400,000",10.2,35.6,71.9
Thaddeus Young,IND,6-8,Nike,"$13,764,045",12.6,34.9,64.4
Wesley Matthews,IND,6-5,Nike,"$19,360,228",12.2,37.2,81.0
Patrick Beverley,LAC,6-1,Adidas,"$5,027,028",7.6,39.7,78.0
Danilo Gallinari,LAC,6-10,Adidas,"$21,587,579",19.8,43.3,90.4
Montrezl Harrell,LAC,6-8,Nike,"$6,000,000",16.6,17.6,64.3
Sindarius Thornwell,LAC,6-5,Nike,"$1,378,242",1.0,20.0,73.5
Shai Gilgeous-Alexander,LAC,6-6,Nike,"$3,375,360",10.8,36.7,80.0
Tyrone Wallace,LAC,6-5,Nike,"$1,349,383",3.5,21.1,52.6
Landry Shamet,LAC,6-5,Nike,"$1,705,920",9.1,42.2,80.6
JaMychal Green,LAC,6-9,Jordan,"$8,066,667",9.4,40.3,79.2
Garrett Temple,LAC,6-6,Nike,"$8,000,000",7.8,34.1,74.8
Ivica Zubac,LAC,7-1,Adidas,"$1,544,951",8.9,0.0,80.2
Rodney McGruder,LAC,6-4,Nike,"$1,544,951",7.6,35.1,72.2
